Mutation Type,DBS1,DBS2,DBS3,DBS4,DBS5
TA>GT,1.15E-03,1.30E-03,3.62E-04,8.06E-03,1.91E-03
TC>AA,1.09E-05,1.45E-03,5.49E-03,3.79E-01,4.04E-02
TC>AG,3.09E-06,2.00E-04,6.14E-06,1.87E-03,1.49E-02
TC>AT,2.46E-03,4.17E-18,1.12E-03,8.41E-03,7.48E-04
TC>CA,4.42E-06,6.82E-04,6.55E-02,8.46E-02,1.43E-03
TC>CG,3.30E-05,3.89E-06,1.16E-04,4.00E-04,1.06E-17
TC>CT,1.90E-03,3.35E-03,1.94E-02,8.28E-06,1.05E-03
TC>GA,6.42E-05,8.85E-04,7.78E-02,3.64E-02,2.46E-05
TC>GG,4.11E-04,9.87E-06,1.77E-04,1.04E-05,3.48E-05
TC>GT,5.10E-03,8.57E-05,4.34E-02,7.00E-18,3.86E-05
TG>AA,1.37E-03,2.96E-03,6.68E-05,7.63E-03,1.80E-02
TG>AC,2.37E-04,2.20E-04,8.04E-05,1.18E-04,1.46E-03
TG>AT,2.41E-03,4.29E-03,9.58E-04,7.00E-18,2.04E-02
TG>CA,2.79E-04,1.44E-04,1.59E-02,8.04E-04,4.76E-04
TG>CC,1.03E-04,5.94E-05,4.84E-04,1.20E-04,5.06E-04
TG>CT,1.85E-03,3.07E-03,6.07E-03,8.21E-05,3.28E-04
TG>GA,4.07E-04,1.47E-03,5.23E-04,7.85E-03,3.27E-03
TG>GC,8.89E-05,2.72E-04,4.98E-04,6.04E-04,2.92E-04
TG>GT,1.90E-03,6.40E-03,1.03E-02,3.23E-05,8.27E-02
TT>AA,5.49E-03,4.31E-03,3.22E-03,1.80E-05,4.92E-03
TT>AC,7.20E-04,3.45E-04,2.43E-03,6.60E-07,9.66E-04
TT>AG,4.18E-04,2.15E-04,2.29E-02,7.00E-18,8.93E-04
TT>CA,7.25E-04,4.17E-18,6.94E-04,7.00E-18,1.05E-17
TT>CC,5.42E-03,2.98E-06,8.16E-03,7.00E-18,7.73E-04
TT>CG,8.38E-05,1.52E-05,3.18E-02,7.25E-18,1.05E-17
TT>GA,1.86E-03,4.79E-05,1.23E-02,7.00E-18,2.99E-05
TT>GC,1.06E-03,1.54E-06,6.65E-02,7.00E-18,5.66E-05
TT>GG,1.61E-03,4.17E-18,1.71E-01,7.00E-18,1.05E-17
